title,description,display_date,Picture_link,Location,On_road,Price
Toyota Corolla 2008 XLi Petrol,Alloy rimExellent EngineThroughout petrolBack view camera,12-06-20 1:16,https://apollo-singapore.akamaized.net:443/v1/files/oxpgefvzi2ua-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2008 - 330,000 km","Rs 1,150,000"
Japanese Alto e2 2014/2017 for sale,Suzuki Alto Japanese2014 modelRegister in 2017E2 Eco IdleRed Wine Color2 Pc TouchupsNew Alloy Rim TyreNo Work What So Ever Perfect Family Car,12-06-20 1:14,https://apollo-singapore.akamaized.net:443/v1/files/zcl19lzj76u41-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","2014 - 65,000 km","Rs 1,300,000"
Suzuki cultus  efi 2010,A one condition suzuki cultus efi 2010,12-06-20 1:14,https://apollo-singapore.akamaized.net:443/v1/files/4ekqt9s3hikr3-PK/image;s=1080x607,"Karachi,Sindh,Pakistan","2010 - 35,000 km","Rs 740,000"
Toyota Corolla Altis Grande CVT-i 1.8,Excellent condition of the car.some pieces showerd. tires condition is good and price is negotiable,12-06-20 2:04,https://apollo-singapore.akamaized.net:443/v1/files/a4eqgb2wpbwi1-PK/image;s=1080x608,"Lahore,Punjab,Pakistan","2015 - 101,509 km","Rs 2,400,000"
Toyota Vitz 2012 and Import 2016,Vitz 2012Import 2016Leather stich seatsLeather stich steeringNew rims and tyres installed Fog lights,12-06-20 2:03,https://apollo-singapore.akamaized.net:443/v1/files/k0dvinueevbs2-PK/image;s=1080x908,"Jhelum,Punjab,Pakistan","2012 - 105,000 km","Rs 1,650,000"
Total geniune XLi 2010/2011 converted GLi,XLi 2010 Dec Registered in 2011 Converted to GLi Total geniune inner and outer 100 % own engine 100 % suspension LCDBack camera Alloy rims Power window Home use car Just buy and drive no any single work Only serious buyer contact.Only reply on call,12-06-20 2:03,https://apollo-singapore.akamaized.net:443/v1/files/8dseuu3h7f2d1-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2010 - 107,000 km","Rs 1,325,000"
Suzuki Cultus 1.0 VXL AGS 2019,"Suzuki Cultus 1.0 VXL AGS 2019 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Automatic gear transmission• Interior, exterior is Excellent• Tyres condition is good• 19249KM driven up till now• Registered City: Lahore At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Suzuki Cultus 1.0 VXL AGS 2019 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesShop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.C.H.S Society Main Khalid Bin Waleed Road Karachi Call Timings: 10: 00 AM to 5:00 PM",07-06-20 18:07,https://apollo-singapore.akamaized.net:443/v1/files/p1cuagl1sms2-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2019 - 19,249 km","Rs 1,970,000"
SUZUKI CULTUS 993CC LIMITED EDITION 2017,"Hi,I am selling my Suzuki Cultus Model 2017 in Beige color, First owner, First hand driven on very low mileage in immaculate condition.Car is 100% genuine inside and outside.Car is using as a second car. car is driven through out on petrol. Silent features of car.Original BookCPLC ClearPerfect soundless EFI Engine.Perfect SuspensionAlloy RimTyre like newNew battery.New seats cover.A/C is chilled.Company Fitted CNGCar has no work just buy and drive. please bring your mechanic or person who can check to avoid time waste of each other.Only serious buyers  contacts.ThanksMuhammad Faisal",17-02-20 19:09,https://apollo-singapore.akamaized.net:443/v1/files/tbq38ysqyxos3-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2017 - 53,000 km","Rs 1,220,000"
Honda city aspire 1.5,Honda city aspire 1.5 multan registered  total bumper to bumper original first ownr leather seats Alloy rim  navigation Lcd back camera,12-06-20 1:33,https://apollo-singapore.akamaized.net:443/v1/files/of5ytio3upq43-PK/image;s=1080x1440,"Multan,Punjab,Pakistan","2016 - 52,000 km","Rs 1,990,000"
Sozuki VX altu 1998 model no accednt condition 8/10 full spray,No need foolish offers car ap kohat road py dek sakty hy technicl college k pas full spray car hy our accednt nhi hy fram bilkul 10/10,12-06-20 1:33,https://apollo-singapore.akamaized.net:443/v1/files/pknga4z9czkv3-PK/image;s=1080x2282,"Peshawar,Khyber Pakhtunkhwa,Pakistan","1998 - 80,000 km","Rs 245,000"
Toyota corolla Gli 2010,Toyota corolla Gli Model : 2010First ownerCng installedoutside touchups inside geniunLcd installed Front screen minor cracked no work requiredDemand 13 lacs price slightly negiotable,12-06-20 1:33,https://apollo-singapore.akamaized.net:443/v1/files/gtcm197htpcm1-PK/image;s=1080x1921,"Karachi,Sindh,Pakistan","2010 - 100,000 km","Rs 1,300,000"
Toyota Gli manual 2015/2016,1 peice toch hai left side say mudguard baki total geniun haiSerious buyers contact kren,12-06-20 1:05,https://apollo-singapore.akamaized.net:443/v1/files/4yopzn6pviw7-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2016 - 120,000 km","Rs 2,175,000"
Coure automatic model 2005,Engine change new engine number updated ha book per allowrims tubeless tyres ac cng petrol sb working me hai complet documents gari mere naam per hai..chat diggy original ha baki bonet shower hai or doors touchps hn inside full genuine hai..,12-06-20 1:04,https://apollo-singapore.akamaized.net:443/v1/files/0f8qvtn8pywa1-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2005 - 12,345 km","Rs 570,000"
Urgent sale,Bampar to Bampar genuineJapanese alorymDVD Back cameraTotal window autoAuto retact mirror,12-06-20 1:04,https://apollo-singapore.akamaized.net:443/v1/files/z8rqz81nqnxt3-PK/image;s=1080x1440,"Lahore,Punjab,Pakistan","2018 - 89,000 km","Rs 1,400,000"
Suzuki Cultus 993cc VXR Euro II 2014,"Suzuki Cultus 993cc VXR Euro II 2014 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Original registration book, both number plates available• Manual gear transmission• Interior, exterior is Excellent• Tyres condition is good• 76582 KM driven up till now• Registered City: Karachi At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Suzuki Cultus 993cc VXR Euro II 2014 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesShop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.C.H.S Society Main Khalid Bin Waleed Road Karachi Call Timings: 10: 00 AM to 5:00 PM",07-06-20 18:15,https://apollo-singapore.akamaized.net:443/v1/files/5ichke9uk9q41-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2014 - 76,582 km","Rs 1,025,000"
Suzuki cultus 2009 VXLI,"Suzuki cultus VXLI special edition,company fitted power stearing ,chilled ac,no major accident original inside four side shower. only serious buyers contact call only .312- 02 -97-68 _3",12-06-20 2:16,https://apollo-singapore.akamaized.net:443/v1/files/gzfn3gg05bln3-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan",2009 - 1 km,"Rs 800,000"
Home used car 2004/2017,Model 20042nd ower home usedLike a brand new carAuto transmitionLahore registerd 2017Total driven on petrolGood fuel averageRoof.piller in geniune other outer shower for fresh lookChilled AcLcd back came installedNew tyreMachincally 100% okSuspension 100% 0kOrignal bookSmart card file and no plates availableToken life timeNo work required just buy and drive,12-06-20 1:43,https://apollo-singapore.akamaized.net:443/v1/files/7bxu2pkkc2j32-PK/image;s=1080x810,"Multan,Punjab,Pakistan","2004 - 92,000 km","Rs 985,000"
Islamabad no smart card all pepar clear first owner,Demand 390000 Argent sall,12-06-20 1:42,https://apollo-singapore.akamaized.net:443/v1/files/naqxrdrmgjgq3-PK/image;s=1080x1440,"Rawalpindi,Punjab,Pakistan","2004 - 85,000 km","Rs 390,000"
Suzuki WagonR 2014/2017,"First owner, family used, self import2 piece touchup, Airbag open from japanRecently new tyres and rims installed, chilled Ac, engine, suspencion perfect no any work required.. All documents and cplc cleared",12-06-20 1:12,https://apollo-singapore.akamaized.net:443/v1/files/ofbkmc36qw771-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2014 - 78,000 km","Rs 1,250,000"
Suzuki khyber,Cng patrol both on good running condition car family use cplc clear tikli available inner original outer shower little work need body,12-06-20 1:12,https://apollo-singapore.akamaized.net:443/v1/files/421qqq357qz03-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","1995 - 10,000 km","Rs 215,000"
BMW X1 S-Drive 18i 1500cc 2017,"BMW X1 S-Drive 18i 1500cc is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:- • Original registration book/Original number plate• Automatic gear transmission• Total Genuine•Push Start•Retractable Side Mirrors• Perfect interior, exterior, engine, suspension• 6,943 KM driven up till now• Interior & exterior is good• Tyres condition is good•Registered City: Karachi At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for BMW X1 S-Drive 18i 1500cc Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services.Visit us at any of the following Carfirst SalesShop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.C.H.S Society Main Khalid Bin Waleed Road Karachi Call Timings: 10: 00 AM to 5:00 PM",07-06-20 16:46,https://apollo-singapore.akamaized.net:443/v1/files/oxrr1ppr9wso3-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2017 - 6,943 km","Rs 6,450,000"
"Cuore 2008, CX Eco","Cuore 2008, CX EcoShimray Green ColourInside 100% originalOutside 60% original3rd OwnerFactory Fitted CNGA/C is in proper working conditionPerfectly running on both CNG/PETROLAlloy Rims with good condition tyresCentral lockingNormal tape sound with extra speakersCPLC clearTax paid till dec 2020Original number platesNeat and clean return fileFamily used carNever been used in Uber/CareemDemand : Five Lac Eighty Thousand",12-06-20 2:02,https://apollo-singapore.akamaized.net:443/v1/files/6v5pw33aw6fr-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2008 - 96,000 km","Rs 580,000"
Spectra 2002 for sale or exchange,"Kia Spectra Model 2002 (Manual)Own powerful 1500cc engine with all std featuresCNG and Patrol both are in working condition.Recently complete Tuning done on dated 02-06-2020)AC parts available but not in workingInside 100% original, outside recently shower some weeks ago just because of color fad and Eid new look (Dt: 20-05-2020)No any accident at all and at own sealsOriginal thickly & number plate  (But one number plate miss during home shifting)CPLC 100% clear & return fileAll documents & second key availableCar needs only some minor suspension workTax remains 10 years which may be approx 18,000.Price almost final accept tax amountOnly contact real buyers and don't give me foolish offers (I have already offer of 325K)You can reach on 03one0-333four330",06-06-20 11:11,https://apollo-singapore.akamaized.net:443/v1/files/clco26v1ktsh3-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2002 - 123,456 km","Rs 380,000"
Suzuki Swift DLX 1.3L total genuine paint ( Guarantee ).,"100% Genuine Paint (Guarantee).Model : 2016, (1st Owner).Millage : 30000 km.Colour : Graphite Grey.New vehicle with ANDROID DVD WITH FRONT & REAR CAMS, Orignal Alloys,Remote key,staring & seat height adjuster,cd player,power & retract mirrors,Rear led light,Orignal fog lights, Brand new Radial tyres installed. just grab & enjoy the drive of new vehicle. RIDEZ ZONE. 389-F,Main Boulevard Khayaban-e- Firdousi ,Johar town (Opp) Aleem Dar Cricket Academy, Lahore.Timings 10:30am to 7:00pm. Monday to Saturday .",06-06-20 12:08,https://apollo-singapore.akamaized.net:443/v1/files/iax6eydanqxy1-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2016 - 30,000 km","Rs 1,650,000"
Toyota Corolla GL 1996 Genuine Condition,ACCNGExellent EngineExellent BodyFully maintainedNo minor or major works,12-06-20 1:32,https://apollo-singapore.akamaized.net:443/v1/files/21q2vdodz1qg2-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","1996 - 200,000 km","Rs 750,000"
Honda Vezel Hybrid RS Sensing Fresh Import 2020,"Honda_Vezel Rs_Sensing Sports_Edition      Model_2016 Fresh_Import_20204 Grade Verifiable Auction Sheet Total Genuine Safety Package Steering Assist Lane DepRadar/Pre-Crash Technology Lane Assist Rs=5,265,000",03-06-20 11:42,https://apollo-singapore.akamaized.net:443/v1/files/7cg8u8b41vzf-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2016 - 5,000 km","Rs 5,265,000"
Mercedes c180k sports edition,Mercedes c180 kompressor sports edition very rareThis variant comes with amg bumpers and grillSports exhaustAmg alloy rims 17 inchBlack interiorDual ac Tiptronic transmissionSport modeAnd many more2006 model 12 import and 13 reg isb numberCar is just like brand new total geniuneSerious buyers only,12-06-20 1:02,https://apollo-singapore.akamaized.net:443/v1/files/b1izc8ybqsms2-PK/image;s=1080x1440,"Islamabad,Islamabad Capital Territory,Pakistan","2006 - 177,000 km","Rs 2,550,000"
Altu Mehran 2010,Total GenuineCNG with cylinder New Tyres New Rim Life Time Token Paid4 Speakers,12-06-20 1:01,https://apollo-singapore.akamaized.net:443/v1/files/hwbvqdk6ed0k-PK/image;s=1080x721,"Mansehra,Khyber Pakhtunkhwa,Pakistan","2010 - 70,000 km","Rs 625,000"
Toyota Corolla SE SALLOON 2003,"Corolla SE SALLOON 2003 model, v Good Co dition,  Some Few Touchups, with CNg' Dvd Player' Camera, High Sound System, Hid Lights, No any single work Required, Amp Boofer, All Documents Clear, No foolish offers, Seriouus Buyer can Contact only, Avoid Texting",12-06-20 2:16,https://apollo-singapore.akamaized.net:443/v1/files/wbp2etcusxsz1-PK/image;s=1080x1440,"Hyderabad,Sindh,Pakistan","2003 - 125,000 km","Rs 810,000"
Cultus vxr inner total geniune,Cultus vxr 2006 model new tyre yokohama rim sada hein Cng clynder kit geniune. hoda dicky chatt room inner  1000% geniune 3 door dicky & bonut seel by seel.Bahir se thori bohat shower hai suspention 100% ok Engine 1000%  Dealer bhai rabta na karein shukriya,12-06-20 2:14,https://apollo-singapore.akamaized.net:443/v1/files/sbswzoy1ay7b-PK/image;s=1080x540,"Lahore,Punjab,Pakistan","2006 - 55,000 km","Rs 680,000"
Honda City 1.3 i-VTEC Prosmatec 2019,"Honda City 1.3 i-VTEC Prosmatec is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:- • Original registration book, both number plates available• Automatic gear transmission• Interior, exterior is good• Tyres condition is good• 9111 KM driven up till now• Registered City: Lahore  At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Honda City 1.3 i-VTEC Prosmatec Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services.Visit us at any of the following Carfirst SalesMetro Cash & Carry Model Town Link roadCall Timings: 10: 00 AM to 5:00 PM",06-06-20 1:37,https://apollo-singapore.akamaized.net:443/v1/files/6hgr3o8cvmza1-PK/image;s=1080x607,"Lahore,Punjab,Pakistan","2019 - 9,111 km","Rs 2,510,000"
GRW #PRINCE #PEARL  800 CC #MANUAL,"#PRINCE #PEARL SILVER 800 CC #MANUAL CAR.NET PRICE:SILVER COLOR  RS. 1,175,000WITHOUT REGISTRATION CHARGESALL PROCESS AT COMPANY AUTHORIZED DEALERSHIP.FEATURES:Power windowCentral lockingModern-looking LCDPower SteeringSeat-beltsAluminium RimsAir conditionerHeater796cc water-cooled EFI engine40 horsepower60 Nm torqueGround clearance: 145mmTurning radius: 4.5mGross weight: 735 KgFuel Type: PetrolSteering Type: Rack and Pinion with Electric MotorFuel tank capacity: 27LMileage City: 18 KM/LMileage Highway: 22 KM/LTransmission Type: ManualSeating Capacity: 5 personsTop Speed: 120-130 KM/HFront Wheel-driveBrakes: Front: Discs, Rear: DrumsSuspension: Front: McPherson independent; Rear: Coil >SpringTyres: 155/65R13 etcREGARDSCH IRFAN MAHMOODTRUST AUTO CONSULTANT CALL OR WTSP0333- 3132451",29-05-20 7:13,https://apollo-singapore.akamaized.net:443/v1/files/8fwgnagh25az1-PK/image;s=1080x810,"Gujranwala,Punjab,Pakistan",2020 - 1 km,"Rs 1,175,000"
86 Corolla.. Dream Car .. just buy and drive..,i m selling my 86 Corolla.. i bet You have never seen 86 Corolla like this in your town..,12-06-20 1:41,https://apollo-singapore.akamaized.net:443/v1/files/n32yf47ivtw3-PK/image;s=1080x719,"Mansehra,Khyber Pakhtunkhwa,Pakistan","1986 - 150,000 km","Rs 480,000"
Suzuki Mehran 1991,Suzuki Mehran Running conditionFuel: CNG / Petrol Cleared papers,12-06-20 1:40,https://apollo-singapore.akamaized.net:443/v1/files/3hmexf0j2j1x1-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","1991 - 10,000 km","Rs 150,000"
Toyota Prius,"The parts of car are genuine and import from japan 2016 Toyota Prius New Shape, S Turing Selection, 5A POINT. Car also in excellent condition from outside and inside. Other Specifications are:Fully Automatic, Smart key, push start, power window,Power Steering, original paint, excellent mileage, One owner,  Genuine TV and Navigation, Fresh Import, Back Camera, LED lights, Complete original file is available, Price is flexible.",12-06-20 1:11,https://apollo-singapore.akamaized.net:443/v1/files/zqblpnfugv4n1-PK/image;s=1080x827,"Sialkot,Punjab,Pakistan","2016 - 15,895 km","Rs 4,385,000"
Mitsubishi pajeero (jeep) 3 Doors,Auction Car Unregister  Full Documents available U can register easily CNG and Petrol Both,12-06-20 1:10,https://apollo-singapore.akamaized.net:443/v1/files/dp0ud81ttpq11-PK/image;s=1080x1080,"Peshawar,Khyber Pakhtunkhwa,Pakistan",1997 - 8 km,"Rs 2,100,000"
Toyota Corolla 1.3 GLI 2017,"Toyota Corolla 1.3 GLI 2017 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Original registration book, both number plates available• Manual gear transmission• Interior, Exterior is good•Tyres condition is good• 29156 KM driven up till now• Registered City: Karachi At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Toyota Toyota Corolla 1.3 GLI 2017 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesShop No 1, 2 Sawera Residency Ground floor Plot no 167 J Block 3 P.E.C.H.S Society Main Khalid Bin Waleed Road Karachi Call Timings: 10: 00 AM to 5:00 PM",07-06-20 19:06,https://apollo-singapore.akamaized.net:443/v1/files/1plssmp5p4vo1-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2017 - 29,156 km","Rs 2,350,000"
Civic Reborn Oriel Prosmatec (Sunroof),"Oriel Prosmatec Sunroof Full Optional  |  Family car- Shower Body because of scratches - No Major touchupsGenuinely Driven 90,000km Own engine  |  New Tyres  |  New Battery",12-06-20 2:02,https://apollo-singapore.akamaized.net:443/v1/files/n3du60djkzcy2-PK/image;s=1080x1080,"Karachi,Sindh,Pakistan","2010 - 90,000 km","Rs 1,350,000"
Suzuki Cultus VXRi 2010,It's a gud car Engine or suspension 110% ok ALHUMDULILLAH.water throwing Engine Ac chil condition Power Stairing InshaAllah with electric pump  also Included tyres alirums recently changed max 5000km drive after changed Per letr average 18+ easily without any issue loge seen.Original Return file Complete Available  or registration Book Duplicate life time token payed old book also available now so 3ach and everything oky or p we perfect it's a 100% home use car so serious person call me urgently sale jezakallah,12-06-20 2:00,https://apollo-singapore.akamaized.net:443/v1/files/473ery46fhhg-PK/image;s=1080x1440,"Faisalabad,Punjab,Pakistan","2010 - 68,000 km","Rs 780,000"
Bumper to bumper  totally genioun suzuki mehran vxr,Aoaselling my home used suzuki mehran vxrTotal genioun Brand new carNo dentsNo paintNo schrachoriginal document Chilled Acbrand new tyreBrand new lather posheshkeyless entrytwo remote two keyssecurity systemmusic systemwater dropping soundless Engine only 17000km drivenNon a single bolt changed in the carBrand new car kept with carevx converted to vxrple only serious buyerprice is almost final ple no bargain First see the car then decidecan be seen in Lahore cantt Ali park badian road,06-06-20 9:37,https://apollo-singapore.akamaized.net:443/v1/files/q6tj8srw4lpt3-PK/image;s=1080x1080,"Lahore,Punjab,Pakistan","2014 - 17,000 km","Rs 790,000"
"Alto vxr automatic, 660cc,power steering and many more","Asalam o alikum.Plz add pura parh k rabta krin.Alto vxr 2009 converted.New engine 660cc 2 mnths pehly dalwaya ha .Automatic transmission.Power steering.Islamabad registration.Token paid till 2018.Outside touching ha ,mjy ziada nh pta is lye denter ,painter ko check krwa lain behtr ha.Beautiful rims,tires achi condition m hain.Heavy sound system.Gadi m sirf 2 kam hain,AC ki gas or compressor dalna ha 6000 ka kharcha ha ,main AC use nh krta is lye nhe theek krwaya,on demand theek krwa du ga.Or 2sra is ki throttle body m msla ha petrol over krti ha gadi , throttle b 3500 ki ha but is k sth matching nh ho rhe .Family use car ha.Ladies k lye best ha bht comfortable ha.Mery name pay nh ha gadi but Bio-matric available ha.Add m sb kuch likh diya ha bar bar call kr k na puchin .",27-05-20 15:12,https://apollo-singapore.akamaized.net:443/v1/files/csdghrc7995v1-PK/image;s=1080x496,"Islamabad,Islamabad Capital Territory,Pakistan","2009 - 5,000 km","Rs 645,000"
Cultus vxr 2007,"Cultus 2007 vxr factory CNG AC 1st owner70km mileage2nd owner3 pc tchupExtra well maintained car Price 5,99,000",12-06-20 1:28,https://apollo-singapore.akamaized.net:443/v1/files/t36hhlb73uo62-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2007 - 10,000 km","Rs 599,000"
Honda lovers Total original inside,Honda vti oriel manual inside Total original out side shower new look Islamabad number   new alloy wheels and tire kenwood speaker and jvc music player and LCD back view camera plz only call no SMS zero three one three five 666 one nine 5,12-06-20 1:31,https://apollo-singapore.akamaized.net:443/v1/files/xub4wircbp2z1-PK/image;s=1080x1440,"Rawalpindi,Punjab,Pakistan","2003 - 123,800 km","Rs 960,000"
Toyota corolla altis 2015 model 2016 reg lahore total genuine,Toyota corolla altis 2015 model 2016 reg lahore total genuine,12-06-20 1:30,https://apollo-singapore.akamaized.net:443/v1/files/ky4ptoip31fx1-PK/image;s=1080x810,"Bhakkar,Punjab,Pakistan","2016 - 85,000 km","Rs 2,350,000"
COROLLA 2013,COROLLA GLI 2013Silver Matalic colourBumper to bumper originalNo Work Required Excellent conditionFinal 1700000 Isse Kam offer Wale Hazrat Call Na Kren,12-06-20 1:30,https://apollo-singapore.akamaized.net:443/v1/files/c4jk6ugqrcp82-PK/image;s=1080x810,"Karachi,Sindh,Pakistan","2013 - 72,225 km","Rs 1,750,000"
Suzuki Swift 1.3 DLX with Navigation 2018,"Suzuki Swift 1.3 DLX with Navigation 2018 is up for sale. The car’s total specifications and physical condition is mentioned and described below in the following points:-• Original registration book, both number plates available• Manual gear transmission• Interior, exterior is good• Tyres condition is good• 30761 KM driven up till now• Registered City: Karachi At the end we would just say that seeing, driving, and inspecting is believing for this crystal clear, totally trouble free, new machine, a gift for Suzuki Swift 1.3 DLX with Navigation 2018 Iovers. It’s kept with intense care without compromising on its maintenance. You can bring your denter/painter/mechanic for your complete satisfaction. Price is almost fixed and quiet reasonable for such a beauty but still a bit negotiable for really interested customers. Do feel free to call/text to know more about this beauty or to schedule a meeting Carfirst Sales is the best place to buy your next car. All our cars are available at affordable prices, including pre-certified vehicles. We are Pakistan’s #1 source for trusted used cars, with the right vehicle to suit every need and every budget.Call now or visit your closest Carfirst Sales Branch to check out the latest cars, promotions, rewards & other value added services. Visit us at any of the following Carfirst SalesMetro Cash & Carry Safari- KarachiCall Timings: 10: 00 AM to 5:00 PM",06-06-20 22:13,https://apollo-singapore.akamaized.net:443/v1/files/9bnm5qpb0j0c3-PK/image;s=1080x1440,"Karachi,Sindh,Pakistan","2018 - 30,761 km","Rs 1,725,000"
"PRIUS 2011 IMP & REG 2014, 100 % genuine.",100 % complete genuine guaranttee. No repainted at all.100 % SBS.100 % BATTERIES.ON MY OWN NAME.NOTE:-21 LAC SE KUM BUDGET WALAE RABTA NA KREN.,25-05-20 6:49,https://apollo-singapore.akamaized.net:443/v1/files/94v15ezbqc4q-PK/image;s=1080x810,"Lahore,Punjab,Pakistan","2011 - 120,481 km","Rs 2,195,000"
charade 1984 Model,"charade cx 1984 Model  and registration 1991, condition Good, CNG Tax 1 year pending, Sound system, Engine condition Good, No.0.3.2.1. 335  4  11   4",12-06-20 1:00,https://apollo-singapore.akamaized.net:443/v1/files/pt2iff8bkxkf3-PK/image;s=1080x1920,"Karachi,Sindh,Pakistan","1984 - 25,000 km","Rs 160,000"
Sound system,"2011 reg 2017, engine change, lcd back cemra",12-06-20 0:59,https://apollo-singapore.akamaized.net:443/v1/files/9mpt0j5v94gs1-PK/image;s=1080x540,"Karachi,Sindh,Pakistan","2011 - 72,000 km","Rs 870,000"
Honda Civic Prosmatic,"A home used geion luxury car,no work required just buy and drive,auto gare,engine gare hisa all ok new rim tyre,andriod system,security system working,gpr system intalled,reverse camera,retired army officer k name ha gari,orignal book return file...all token up to date...",12-06-20 0:59,https://apollo-singapore.akamaized.net:443/v1/files/4vytrkw1630n1-PK/image;s=1080x1441,"Chakwal,Punjab,Pakistan","2005 - 175,000 km","Rs 1,130,000"
